NEBULA:FOG 2026 — Human Judge Scoresheet,,,,,,,,
,,,,,,,,
Team Name,Track,Technical Execution (40%),Innovation (30%),Demo Quality (30%),Track Bonus (+10%),Notes,WEIGHTED TOTAL,
,,Score 0-10,Score 0-10,Score 0-10,Score 0-10,,Formula,
Team 1,,,,,,,"=C5*0.4+D5*0.3+E5*0.3+F5*0.1",
Team 2,,,,,,,"=C6*0.4+D6*0.3+E6*0.3+F6*0.1",
Team 3,,,,,,,"=C7*0.4+D7*0.3+E7*0.3+F7*0.1",
Team 4,,,,,,,"=C8*0.4+D8*0.3+E8*0.3+F8*0.1",
Team 5,,,,,,,"=C9*0.4+D9*0.3+E9*0.3+F9*0.1",
Team 6,,,,,,,"=C10*0.4+D10*0.3+E10*0.3+F10*0.1",
Team 7,,,,,,,"=C11*0.4+D11*0.3+E11*0.3+F11*0.1",
Team 8,,,,,,,"=C12*0.4+D12*0.3+E12*0.3+F12*0.1",
Team 9,,,,,,,"=C13*0.4+D13*0.3+E13*0.3+F13*0.1",
Team 10,,,,,,,"=C14*0.4+D14*0.3+E14*0.3+F14*0.1",
Team 11,,,,,,,"=C15*0.4+D15*0.3+E15*0.3+F15*0.1",
Team 12,,,,,,,"=C16*0.4+D16*0.3+E16*0.3+F16*0.1",
Team 13,,,,,,,"=C17*0.4+D17*0.3+E17*0.3+F17*0.1",
Team 14,,,,,,,"=C18*0.4+D18*0.3+E18*0.3+F18*0.1",
Team 15,,,,,,,"=C19*0.4+D19*0.3+E19*0.3+F19*0.1",
Team 16,,,,,,,"=C20*0.4+D20*0.3+E20*0.3+F20*0.1",
Team 17,,,,,,,"=C21*0.4+D21*0.3+E21*0.3+F21*0.1",
Team 18,,,,,,,"=C22*0.4+D22*0.3+E22*0.3+F22*0.1",
Team 19,,,,,,,"=C23*0.4+D23*0.3+E23*0.3+F23*0.1",
Team 20,,,,,,,"=C24*0.4+D24*0.3+E24*0.3+F24*0.1",
,,,,,,,,
CALIBRATION ANCHORS,,,,,,,,
9-10,Exceptional — Among the best. Sets a new standard.,,,,,,
7-8,Strong — Above average with minor gaps.,,,,,,
5-6,Adequate — Meets baseline. Nothing remarkable.,,,,,,
3-4,Below Average — Significant shortcomings.,,,,,,
1-2,Poor — Fundamental failures.,,,,,,
,,,,,,,,
TRACK BONUSES,,,,,,,,
SHADOW::VECTOR,Attack Effectiveness — Novel attack approaches + responsible disclosure,,,,,,
SENTINEL::MESH,Defense Robustness — Real-world defense applicability + detection accuracy,,,,,,
ZERO::PROOF,Privacy Guarantees — Cryptographic soundness + privacy preservation,,,,,,
ROGUE::AGENT,Originality Factor — Ambitious exploration into uncharted territory,,,,,,
